Year,Month,Central Highlands,
2019,4,4632,
2019,5,6021.6,
2019,6,4137,
2019,7,4276,
2019,8,4127,
2019,9,4707,
2019,10,5965,
2019,11,5923,
2019,12,6479,
2020,1,7836,
2020,2,9988,
2020,3,7990.4,
2020,4,6791.84,
2020,5,8150.208,
2020,6,8965.2288,
2020,7,6783,
2020,8,7461.3,
2020,9,5275,
2020,10,7629,
2020,11,6978,
2020,12,7282,
2021,1,7224,
2021,2,10958,
2021,3,8741,
2021,4,6333,
2021,5,5339,
2021,6,5645,
2021,7,4939,
2021,8,5679,
2021,9,4902,
2021,10,9232,
2021,11,7407,
2021,12,11163,
2022,1,14778,
2022,2,13911,
2022,3,11168,
2022,4,12554,
2022,5,12063,
2022,6,11501,
2022,7,12067,
2022,8,11075,
2022,9,12233,
2022,10,14311,
2022,11,10828,
2022,12,12532,
2023,1,17347,
2023,2,14225,
2023,3,13252,
2023,4,14951,
2023,5,11307,
2023,6,10348,
2023,7,12135,
2023,8,10959,
2023,9,11394,
2023,10,15837,
