,C11,C12,C13,C14,C21,C22,C23,C24,C31,C32,C33,C34,C41,C42,C43,C44
PL-03 ,"2.7,3.7,4.5","1.9,2.4,3.2","2.1,2.8,3.7","2.7,3.6,4.3","2.3,3.2,3.9","2.8,3.7,4.2","1.6,2.4,3.4","1.9,2.8,3.7","2.3,3.1,3.9","2.7,3.5,4.1","2.2,3.2,4.1","2,2.8,3.6","1.8,2.5,3.3","2.2,3.1,4","2.4,3.1,3.9","1.6,2.1,3"
PL-04 ,"1.7,2.2,3.2","1.9,2.7,3.5","2.1,3,3.9","1.8,2.5,3.4","2.3,3,3.7","2.4,3.2,4","1.4,2.2,3.1","1.6,2.4,3.4","2.1,3,3.8","2.8,3.6,4.2","1.8,2.5,3.4","1.8,2.4,3.3","2.8,3.6,4.2","2.2,3.1,4","2.1,2.7,3.5","2.8,3.6,4.1"
PL-05 ,"2.5,3.4,4.1","2.4,3,3.7","1.9,2.7,3.6","2.9,3.8,4.4","2.2,3.2,4","3,3.9,4.5","2.9,3.9,4.5","2,2.9,3.8","2.1,3,3.8","1.7,2.1,3","2,3,3.9","1.9,2.9,3.7","1.7,2.5,3.5","2,2.8,3.6","2.2,3.1,4","2.2,3.2,4"
PL-09 ,"2.1,2.7,3.6","2.6,3.5,4.3","1.8,2.5,3.4","2.8,3.8,4.3","2.6,3.6,4.4","2.4,3.3,4.1","2.4,3.3,4.2","2,2.8,3.7","1.7,2.3,3.3","2.1,2.9,3.7","2.8,3.6,4.1","2.3,3.2,4.1","2.4,3.3,4.1","1.8,2.3,3.2","1.9,2.8,3.7","2.2,2.8,3.6"
PL-10 ,"2.1,2.8,3.6","2.4,3.2,3.9","1.8,2.4,3.2","2,2.9,3.7","2.2,2.9,3.7","2.5,3.4,4.1","1.8,2.3,3.1","2.2,3.2,4","2.3,3.2,3.9","1.9,2.6,3.4","1.7,2.4,3.4","2.9,3.8,4.4","1.9,2.8,3.8","2.5,3.4,4.2","2.8,3.6,4.2","3,4,4.5"
PL-13 ,"2.5,3.4,4.1","2.3,3.1,3.9","2.8,3.6,4.2","2.5,3.3,4","2.4,3.3,4.1","2,2.8,3.7","1.9,2.6,3.6","2,2.9,3.8","2.9,3.8,4.4","2.2,2.8,3.5","2,2.8,3.7","2.6,3.4,4","1.7,2.6,3.4","2.2,3.2,4.1","2.4,3.1,3.9","2.8,3.6,4.2"
PL-15 ,"2.4,3.1,3.7","1.7,2.3,3.2","2.2,3,3.9","1.9,2.6,3.5","1.8,2.5,3.5","2.8,3.7,4.3","1.8,2.7,3.6","2.2,3.2,4.1","2,2.8,3.6","1.9,2.6,3.4","2.8,3.7,4.4","2,2.8,3.7","2.5,3.3,4","2.4,3.1,3.9","2.5,3.4,4.2","1.9,2.6,3.5"
PL-20 ,"2.6,3.4,4","2.3,3,3.7","2.1,2.9,3.9","1.8,2.6,3.5","1.7,2.5,3.5","1.9,2.7,3.6","1.9,2.7,3.6","2,3,3.9","2.8,3.6,4.1","2.6,3.4,4.1","2.7,3.7,4.4","2,2.5,3.3","2.2,3,3.7","1.9,2.8,3.6","2.8,3.7,4.3","1.8,2.5,3.4"
PL-21 ,"2.2,3.1,3.8","2.1,2.9,3.9","1.5,2.2,3.2","2.1,2.9,3.8","2.7,3.6,4.5","2.5,3.4,4.2","1.9,2.7,3.7","2.1,2.6,3.3","2.3,3.3,4.1","2.5,3.3,4.2","2.3,3.1,3.8","2.8,3.8,4.5","2.7,3.6,4.2","1.7,2.6,3.5","2.5,3.3,4.2","2.3,3.2,4.1"
PL-22 ,"2.4,3.4,4.2","3,4,4.4","2.3,3.3,4.1","2.4,3.2,3.9","2.5,3.3,4","2.2,3,3.8","2.1,2.6,3.3","2.2,2.9,3.7","2.9,3.9,4.6","2.3,3.2,4","2.4,3.2,4","1.7,2.6,3.5","2.2,3.1,3.8","2.3,3.2,4","2.5,3.4,4.1","2.5,3.3,4.1"
