Year,Month,South Central Coast
2019,4,8388
2019,5,6155
2019,6,6724
2019,7,8489
2019,8,8328
2019,9,8655
2019,10,11048
2019,11,10570
2019,12,10562
2020,1,14188
2020,2,15310
2020,3,7465
2020,4,7104
2020,5,5920
2020,6,6403
2020,7,7004
2020,8,7704.4
2020,9,7473
2020,10,9486
2020,11,10135
2020,12,9751
2021,1,10249
2021,2,15117
2021,3,12843
2021,4,9659
2021,5,6009
2021,6,6952
2021,7,6772
2021,8,7449.2
2021,9,7821.66
2021,10,13772
2021,11,11380
2021,12,12776
2022,1,19047
2022,2,17315
2022,3,14026
2022,4,14934
2022,5,15435
2022,6,14160
2022,7,16038
2022,8,15260
2022,9,14182
2022,10,17736
2022,11,14214
2022,12,15160
2023,1,21713
2023,2,20268
2023,3,16171
2023,4,12825
2023,5,13079
2023,6,14096
2023,7,14630
2023,8,13738
2023,9,13599
2023,10,18823
